Rank,Brewing Company,City,State
1,"D. G. Yuengling & Son, Inc",Pottsville,PA
2,Boston Beer Co,Boston,MA
3,Sierra Nevada Brewing Co,Chico,CA
4,New Belgium Brewing Co,Fort Collins,CO
5,Gambrinus,San Antonio,TX
6,Duvel Moortgat,Paso Robles/Kansas City/Cooperstown,CA/MO/NY
7,"Bell’s Brewery, Inc",Comstock,MI
8,Deschutes Brewery,Bend,OR
9,Stone Brewing Co,Escondido,CA
10,Oskar Blues Brewing Holding Co,Longmont,CO
11,Brooklyn Brewery,Brooklyn,NY
12,Minhas Craft Brewery,Monroe,WI
13,Artisanal Brewing Ventures,Downingtown/Lakewood,PA/NY
14,Dogfish Head Craft Brewery,Milton,DE
15,SweetWater Brewing Co,Atlanta,GA
16,New Glarus Brewing Co,New Glarus,WI
17,Matt Brewing Co,Utica,NY
18,Harpoon Brewery,Boston,MA
19,Alaskan Brewing,Juneau,AK
20,Abita Brewing Co,Abita Springs,LA
21,Great Lakes Brewing Co,Cleveland,OH
22,Anchor Brewing Co,San Francisco,CA
23,Stevens Point Brewery,Stevens Point,WI
24,August Schell Brewing Co,New Ulm,MN
24,Long Trail Brewing Co,Bridgewater Corners,VT
26,Summit Brewing Co,Saint Paul,MN
27,Odell Brewing Co,Fort Collins,CO
28,Shipyard Brewing Co,Portland,ME
29,Full Sail Brewing Co,Hood River,OR
30,Rogue Ales,Newport,OR
31,21st Amendment Brewery,Bay Area,CA
32,Flying Dog Brewery,Frederick,MD
33,Ninkasi Brewing Co,Eugene,OR
34,Gordon Biersch Brewing Co,San Jose,CA
35,Allagash Brewing Co,Portland,ME
36,Narragansett Brewing Co,Providence,RI
37,Green Flash Brewing Co,San Diego,CA
38,Tröegs Brewing Co,Hershey,PA
39,Uinta Brewing Co,Salt Lake City,UT
40,Bear Republic Brewing Co,Cloverdale,CA
41,Karl Strauss Brewing Co,San Diego,CA
42,Surly Brewing Co,Minneapolis,MN
43,Sixpoint Brewery,Brooklyn,NY
44,Left Hand Brewing Co,Longmont,CO
45,Lost Coast Brewery,Eureka,CA
46,Revolution Brewing,Chicago,IL
47,North Coast Brewing Co,Fort Bragg,CA
48,Avery Brewing Co,Boulder,CO
49,Real Ale Brewing Co,Blanco,TX
50,BJ’s Brewery,Huntington Beach,CA
